Country,State/Providence/Region,City,Postal Code,Number of Registrations,
Afghanistan,TN,Murfreesboro,37128,2,
Albania,,Tirane,1057,1,
American Samoa,American Samoa,Pagopago,96799,1,
American Samoa,AS,Pago Pago,96799,9,
American Samoa,AS,Pagopago,96799,1,
Andorra,Andorra,Escaldes Engordany,AD700,1,
Angola,Luanda,Luanda,N/A,1,
Argentina,,Lujan,6700,1,
Argentina,,Yerba Buena,4107,1,
Argentina,Buenos Aires,Belgrano,C1428,1,
Argentina,BUENOS AIRES,BUENOS AIRES,1425,1,
Argentina,buenos aires,caba,1220,1,
Argentina,Buenos Aires,Ciudad de Buenos aires,C1425GAD,1,
Argentina,Buenos Aires,La Plata,1897,1,
Argentina,Buenos Aires,Olivos,1636,1,
Argentina,BUENOS AIRES,Palermo,1425,1,
Argentina,Buenos Aires,San Isidro,B1642,1,
Argentina,CORDOBA,CORDOBA,5000,2,
Argentina,Córdoba,Cordoba,5009,1,
Argentina,Entre Rios,Paraná,3100,1,
Argentina,Mendoza,Lujan de cuyo,5505,1,
Argentina,SANTA FE,ROSARIO,2000,1,
Australia,ACT,Crace,2911,1,
Australia,ACT,Dickson,2602,1,
Australia,ACT,Macquarie,2614,1,
Australia,ACT,Scullin,2615,1,
Australia,Australia,Hillside,3037,1,
Australia,"Australia, QLD",Hope Island,4212,1,
Australia,New South Wales,Dundas Valley,2117,1,
Australia,New South Wales,Mosman,2088,1,
Australia,New south wales,Wilberforce,2756,1,
Australia,NSW,Balgowlah,2093,1,
Australia,NSW,BASS HILL,2197,2,
Australia,NSW,Belrose,2085,1,
Australia,NSW,Blaxland,2774,1,
Australia,NSW,BONNELLS BAY,2264,2,
Australia,NSW,Branxton,2335,1,
Australia,NSW,Caringbah,2229,2,
Australia,NSW,Carlton,2218,1,
Australia,nsw,Emu Heights,2750,1,
Australia,NSW,Erina,2250,1,
Australia,NSW,Fairlight,2094,1,
Australia,NSW,GILLIESTON HEIGHTS,2321,1,
Australia,NSW,Gymea Bay,2227,1,
Australia,NSW,Haberfield,2045,1,
Australia,NSW,JERRABOMBERRA,2619,1,
Australia,NSW,LANE COVE NORTH,2066,1,
Australia,NSW,Leppington,2179,1,
Australia,NSW,Lisarow,2250,1,
Australia,NSW,MARRICKVILLE,2204,1,
Australia,NSW,Mulgoa,2745,1,
Australia,NSW,Northbridge,2063,1,
Australia,NSW,Nowra,2541,1,
Australia,NSW,Nowra,N/A,1,
Australia,NSW,PORT MACQUARIE,2444,1,
Australia,NSW,Quakers Hill,2763,1,
Australia,NSW,ST IVES,2075,2,
Australia,NSW,VAUCLUSE,2030,1,
Australia,NSW,WAHROONGA,2076,1,
Australia,NSW,Woolgoolga,2456,2,
Australia,NSW,Woonona,2517,1,
Australia,NSW,Yass,2582,1,
Australia,NSW Australia,Nelson Bay,2315,1,
Australia,QLD,Earlvill,4870,1,
Australia,QLD,ESK,4312,1,
Australia,QLD,Gulliver,4812,1,
Australia,QLD,KALKADOON,4825,1,
Australia,QLD,KAWANA,4701,1,
Australia,QLD,NORTHGATE,4013,1,
Australia,QLD,Port Douglas,4877,1,
Australia,QLD,Sippy Downs,4556,1,
Australia,Queensland,Elanora,4221,2,
Australia,Queensland,Palm Beach,4221,1,
Australia,Queensland,Sherwood,4075,1,
Australia,SA,Salisbury Heights,5109,1,
Australia,Sydney/NSW,Bondi Beach,2026,1,
Australia,VIC,Balwyn North,3104,1,
Australia,VIC,Black Hill,3350,1,
Australia,VIC,DOCKLANDS,3008,1,
Australia,VIC,Ferntree Gully,3156,2,
Australia,Vic,Gladstone Park,3043,1,
Australia,VIC,Hawthorn East,3123,1,
Australia,VIC,LILYDALE,3140,1,
Australia,VIC,Moe,3825,1,
Australia,VIC,Mt Egerton,3352,1,
Australia,VIC,Parkville,3052,1,
Australia,VIC,RICHMOND,3121,1,
Australia,VIC,SEAFORD,3198,1,
Australia,Vic,St. Kilda,3182,1,
Australia,VIC,TRUGANINA,3029,1,
Australia,VIC,WANTIRNA SOUTH,3152,1,
Australia,Victoria,Melbourne,3027,1,
Australia,Victoria,Melbourne,3032,1,
Australia,Victoria,Melbourne,3095,1,
Australia,Victoria,Sorrento,3943,1,
Australia,WA,Marmion,6020,1,
Australia,WA,SCARBOROUGH,6019,2,
Australia,WA,SOUTH PERTH,6151,1,
Australia,WA,Swanbourne,6010,1,
Australia,Western Australia,Pearsall,6065,2,
Australia,Western Australia,Wembley Downs,6019,1,
Austria,,Admont,8911,2,
Austria,,Altlengbach,3033,1,
Austria,,Amstetten,3300,1,
Austria,,Artstetten-Poebring,3661,1,
Austria,,Bad Fischau-Brunn,2721,1,
Austria,,Bad Ischl,4820,1,
Austria,,Ennsdorf,4482,1,
Austria,,Gampern,4851,1,
Austria,,Giesshubl,2372,1,
Austria,,Hatting,6402,1,
Austria,,Hoefen,6604,1,
Austria,,Linz,4040,1,
Austria,,Marchtrenk,4614,1,
Austria,,Nussdorf Am Haunsberg,5151,1,
Austria,,Perchtoldsdorf,2380,1,
Austria,,Ried Im Innkreis,4910,3,
Austria,,Schwanenstadt,4690,1,
Austria,,Sonntagberg,3333,1,
Austria,,Sulz,6832,1,
Austria,,Tiefgraben,5310,1,
Austria,,Vienna,1030,1,
Austria,,Vienna,1100,1,
Austria,,Weiz,8160,1,
Austria,,Wien,1030,1,
Austria,,Wien,1130,1,
Austria,,Wilhering,4073,1,
Austria,Austria,Neudörfl,7201,1,
Austria,Carinthia,Klagenfurt am Wörthersee,9020,1,
Austria,Carinthia,Sankt Veit an der Glan,9300,1,
Austria,Grosspetersdorf,Welgersdorf,7503,1,
Austria,Lower Austria,Moedling,2340,1,
Austria,Lower Austria,Traiskirchen,2514,1,
Austria,N/A,Vienna,1020,1,
Austria,Niederösterreich,Enzenreith,2540,1,
Austria,Niederösterreich,Maria Enzersdorf,2344,1,
Austria,Niederösterreich,Oberrohrbach,2105,1,
Austria,Niederösterreich,Rannersdorf,2320,1,
Austria,Österreich,Wien,1030,1,
Austria,Salzburg,Salzburg,5020,3,
Austria,Steiermark,Köflach,8580,1,
Austria,Styria,Graz,8045,1,
Austria,Tirol,Innsbruck,6020,1,
Austria,Tirol,Polling in Tirol,6404,1,
Austria,Tyrol,Silz,6424,1,
Austria,Upper Austria,Ried in der Riedmark,4312,1,
Austria,Upper Austria,Wels,4600,1,
Austria,Upper Austria,Wendling,4741,1,
Austria,Upperaustria,Luftenberg,4225,1,
Austria,Vienna,Vienna,1020,1,
Austria,Vienna,Vienna,1030,1,
Austria,Vienna,Vienna,1050,1,
Austria,Vienna,Vienna,1190,1,
Austria,Vienna,Vienna,1200,1,
Austria,Vienna,Vienna,1210,2,
Austria,Vienna,Vienna,1220,2,
Austria,Vorarlberg,Hohenems,6845,1,
"Bahamas, The",,Nassau,N/A,2,
"Bahamas, The",,Nassau,SS 5981,1,
"Bahamas, The",Bahamas,Abaco,AB 22295,1,
"Bahamas, The",Grand Bahama,Freeport,N/A,1,
"Bahamas, The",New Providence,Nassau,CR 54812,1,
"Bahamas, The",New Providence,Nassau,N/A,1,
Bangladesh,,Dhaka,1212,1,
Bangladesh,Barishal,Barisal,8200,1,
Barbados,,Bridgetown,N/A,2,
Barbados,,Christ Church,BB 17017,4,
Barbados,St Michael,Bridgetown,N/A,2,
Barbados,St.James,Bridgetown,BB00022,1,
Belarus,,Minsk,220025,1,
Belgium,,Antwerpen,2018,1,
Belgium,,Brussel,1020,1,
Belgium,,Bruxelles,1000,1,
Belgium,,Cuesmes,7033,1,
Belgium,,Dottignies,7711,1,
Belgium,,Duisburg,3080,1,
Belgium,,Ekeren,2180,1,
Belgium,,Enghien,7850,1,
Belgium,,Gent,9050,2,
Belgium,,Ixelles,1050,2,
Belgium,,Kessel-Lo,3010,1,
Belgium,,La Louviere,7110,1,
Belgium,,Merelbeke,9820,1,
Belgium,,Montigny-le-tilleul,6110,1,
Belgium,,Olne,4877,1,
Belgium,,Oostende,8400,1,
Belgium,,Overpelt,3900,1,
Belgium,,Rocourt,4000,1,
Belgium,,Wezembeek-Oppem,1970,1,
Belgium,,Zoersel,2980,1,
Belgium,Antwerp,Lier,2500,1,
Belgium,Belgium,brussels,1030,1,
Belgium,Brabant,BRAINE-LE-CHATEAU,1440,1,
Belgium,Brabant,Grez-Doiceau,1390,1,
Belgium,Brabant,Vilvorde,1800,1,
Belgium,Brussels,Brussels,1170,1,
Belgium,Bruxelles,Bruxelles,1120,1,
Belgium,Enghien,Petit-Enghien,7850,1,
Belgium,Flemish Brabant,Boortmeerbeek,3190,1,
Belgium,Genappe,Bousval,1470,1,
Belgium,Hainaut,Enghien,7850,1,
Belgium,Hainaut,Ghlin,7011,1,
Belgium,Ham-Sur-Heure-Nalinnes,Jamioulx,6120,1,
Belgium,Liege,Malmedy,4960,1,
Belgium,Liege,Oupeye,N/A,1,
Belgium,Limburg,Sint-Truiden,3800,1,
Belgium,Neupre,Ehein,4120,1,
Belgium,OVL,Erpe-Mere,9420,2,
Belgium,Ternat,Wambeek,1741,1,
Belgium,Theux,Transvaal,4910,1,
Belgium,Vlaams-Brabant,Tienen,3300,1,
Belgium,W-VL,Brugge,8200,1,
Belgium,Zwijndrecht,Burcht,2070,1,
Belize,,Belize City,,3,
Belize,,Stann Creek District,N/A,1,
"Bonaire, Sint Eustatius, and Saba",,Bonaire,0000,1,
Brazil,Bahia,Mucuri,45930-000,1,
Brazil,bahia,salvador,41810640,1,
Brazil,Maranhão,Sao Luis,65074-115,1,
Brazil,Mato Grosso,Cuiaba,78045390,1,
Brazil,Mg,Morada Nova,32143-510,1,
Brazil,Minas Gerais,Contagem,32310-000,1,
Brazil,MT,Cuiabá,78060634,1,
Brazil,Paraná,Curitiba,81220080,1,
Brazil,Parana,Curitiba,81540280,2,
Brazil,PR,Curitiba,80010160,1,
Brazil,Rio de Janeiro,Niterói,24322385,1,
Brazil,Rio de Janeiro,Petropolis,25655171,2,
Brazil,Rio de Janeiro,Rio de Janeiro,22723570,1,
Brazil,Rio de Janeiro/RJ,Rio de Janeiro,22231150,1,
Brazil,Rio Grande do Norte,Natal,59082-110,1,
Brazil,RIO GRANDE DO SUL,GRAVATAI,N/A,1,
Brazil,Rj,Copacabana,22070-002,1,
Brazil,Santa Catarina,Florianopolis,88048-570,1,
Brazil,Sao Paulo,Atibaia,12947-400,1,
Brazil,Sao paulo,Campinas,13042105,1,
Brazil,Sao Paulo,Campinas,13087502,1,
Brazil,Sao Paulo,Franca,14403-610,2,
