Country,NumberofRegistrations_count
Afghanistan,1
Albania,1
American Samoa,3
Andorra,1
Angola,1
Argentina,15
Australia,79
Austria,56
"Bahamas, The",6
Bangladesh,2
Barbados,4
Belarus,1
Belgium,43
Belize,2
"Bonaire, Sint Eustatius, and Saba",1
Brazil,46
Brunei,2
Bulgaria,4
Cambodia,2
Canada,714
Cayman Islands,2
Chile,13
China,62
Colombia,29
Costa Rica,15
Croatia,4
Curaçao,1
Cyprus,2
Czechia,20
Côte d'Ivoire,3
Denmark,32
Dominica,2
Dominican Republic,15
Ecuador,6
El Salvador,3
Estonia,1
Finland,14
France,453
French Polynesia,5
Georgia,4
Germany,720
Ghana,1
Gibraltar,1
Greece,7
Grenada,1
Guadeloupe,5
Guam,36
Guatemala,2
Guernsey,1
Guyana,1
Honduras,2
Hong Kong,25
Hungary,17
Iceland,2
India,11
Indonesia,4
Ireland,20
Israel,44
Italy,89
Jamaica,2
Japan,249
Kazakhstan,5
Kosovo,1
Kuwait,4
Kyrgyzstan,1
Latvia,6
Liechtenstein,2
Lithuania,1
Luxembourg,1
Malaysia,8
Malta,3
Martinique,1
Mauritius,1
Mexico,139
"Micronesia, Federated States of",3
Montenegro,2
Netherlands,113
New Caledonia,1
New Zealand,9
Nicaragua,1
Nigeria,6
North Macedonia,2
Northern Mariana Islands,6
Norway,18
Panama,6
Paraguay,1
Peru,6
Philippines,13
Poland,122
Portugal,8
Puerto Rico,253
Qatar,1
Romania,4
Russian Federation (The),49
Réunion,1
Saint Barthélemy,2
Saint Lucia,1
Saint Martin,1
Saint Vincent and the Grenadines,2
San Marino,1
Saudi Arabia,10
Serbia,1
Singapore,31
Sint Maarten,1
Slovakia,4
Slovenia,5
South Africa,12
South Korea,246
Spain,69
Suriname,1
Sweden,23
Switzerland,187
Taiwan,30
Thailand,6
Trinidad and Tobago,2
Turkey,12
Turks and Caicos Islands,1
Tuvalu,1
U.S. Minor Outlying Islands,1
Uganda,1
Ukraine,34
United Arab Emirates,14
United Kingdom,332
United States,24417
Uruguay,3
Uzbekistan,1
Viet Nam,2
"Virgin Islands, British",2
"Virgin Islands, U.S.",16
