Postal Code,Number of Registrations
15001,34
15003,7
15004,3
15005,1
15009,20
15010,18
15012,12
15014,1
15015,2
15017,31
15019,1
15021,2
15022,5
15024,11
15025,22
15027,3
15030,1
15037,5
15042,7
15044,28
15045,3
15050,7
15054,1
15055,1
15056,4
15057,19
15060,3
15061,8
15062,9
15063,5
15065,8
15066,11
15067,1
15068,29
15071,5
15074,8
15076,1
15084,2
15085,7
15086,10
15089,5
15090,19
15101,9
15102,27
15104,1
15106,26
15108,113
15110,2
15116,8
15120,9
15122,16
15126,1
15129,9
15131,5
15132,2
15133,3
15135,2
15136,13
15137,7
15139,2
15142,2
15143,19
15144,1
15145,3
15146,33
15147,11
15148,1
15201,19
15202,11
15203,6
15204,4
15205,72
15206,84
15207,3
15208,43
15209,7
15210,12
15211,10
15212,37
15213,56
15214,6
15215,6
15216,20
15217,22
15218,14
15219,39
15220,28
15221,28
15222,26
15223,3
15224,5
15226,11
15227,27
15228,25
15229,10
15231,1
15232,7
15233,2
15234,17
15235,40
15236,13
15237,35
15238,27
15239,23
15241,22
15243,11
15261,2
15275,5
15301,43
15311,6
15312,2
15314,5
15317,54
15321,1
15322,1
15324,1
15329,1
15330,2
15331,1
15332,12
15333,2
15337,1
15338,1
15340,1
15342,6
15345,1
15346,1
15349,1
15363,1
15367,6
15370,5
15377,1
15401,17
15417,7
15423,2
15425,12
15427,4
15437,1
15438,1
15442,3
15445,6
15458,1
15459,3
15469,2
15473,7
15478,1
15479,4
15480,2
15483,1
15501,15
15521,1
15522,21
15530,4
15531,1
15537,7
15541,1
15542,1
15545,1
15552,2
15557,1
15560,1
15601,48
15610,1
15613,5
15622,2
15626,8
15627,2
15631,1
15632,6
15634,1
15635,1
15636,3
15642,36
15644,8
15646,1
15650,21
15655,2
15656,4
15658,9
15665,1
15666,4
15668,6
15670,1
15672,1
15673,7
15677,4
15679,1
15681,6
15683,3
15687,1
15690,1
15692,2
15697,2
15698,1
15701,35
15705,3
15714,2
15717,5
15722,3
15729,3
15747,3
15748,1
15759,1
15762,2
15767,15
15774,3
15778,2
15801,9
15823,2
15824,4
15825,3
15832,1
15834,1
15840,1
15845,1
15849,2
15851,7
15853,3
15857,4
15864,1
15901,1
15902,3
15904,23
15905,11
15906,5
15909,3
15924,2
15926,3
15931,9
15935,2
15936,1
15938,1
15940,3
15942,2
15943,2
15944,1
15945,1
15946,7
15955,2
15957,2
15963,6
16001,19
16002,7
16020,1
16025,3
